output_model,metric_model,phenomenon,metric,n,spearman_r,spearman_p,pearson_r,pearson_p
mistralai/Mistral-7B-Instruct-v0.3,gpt2,role_reversal,delta_cos,1500,0.10479985159229413,4.7683592977582426e-05,0.07558562727579132,0.0033986930091063805
mistralai/Mistral-7B-Instruct-v0.3,gpt2,role_reversal,delta_frob,1500,0.07129332679140725,0.005737947969270676,0.06058568063609432,0.01894186816079341
mistralai/Mistral-7B-Instruct-v0.3,gpt2,role_reversal,delta_l2,1500,0.054240298587228626,0.03568375514504259,0.00616853233799047,0.8113309767904617
mistralai/Mistral-7B-Instruct-v0.3,gpt2,role_reversal,delta_token_aligned,1500,-0.020533307085223558,0.4268041047689652,-0.014721028791998507,0.5688821666398116
mistralai/Mistral-7B-Instruct-v0.3,roberta-base,negation,delta_cos,1500,0.24873454424024286,1.3787539908748367e-22,0.22087050021920634,4.9620123925222695e-18
mistralai/Mistral-7B-Instruct-v0.3,roberta-base,negation,delta_frob,1500,0.2514881805530493,4.537769439602914e-23,0.22651936419527677,6.6004863624067115e-19
mistralai/Mistral-7B-Instruct-v0.3,roberta-base,negation,delta_l2,1500,0.30053142181010917,1.0996599313398835e-32,0.26436470486257996,2.0931165616331244e-25
mistralai/Mistral-7B-Instruct-v0.3,roberta-base,negation,delta_token_aligned,1500,0.27599547227024807,1.2502237252590478e-27,0.24183459393070572,2.103835956107626e-21
mistralai/Mistral-7B-Instruct-v0.3,roberta-base,role_reversal,delta_cos,1500,0.2389993388771484,6.290510093393269e-21,0.20587152164512346,8.06990398213667e-16
mistralai/Mistral-7B-Instruct-v0.3,roberta-base,role_reversal,delta_frob,1500,0.22604172959637642,7.844734516277344e-19,0.2088060969641348,3.0709649120392603e-16
mistralai/Mistral-7B-Instruct-v0.3,roberta-base,role_reversal,delta_l2,1500,0.2449343637058737,6.249959590908766e-22,0.22622096849186105,7.352799347523352e-19
mistralai/Mistral-7B-Instruct-v0.3,roberta-base,role_reversal,delta_token_aligned,1500,0.18996472703558662,1.181675120349259e-13,0.17543620500510365,7.805130979266778e-12
