pair_id,phenomenon,model,total_surprisal_s,total_surprisal_cf,avg_surprisal_s,avg_surprisal_cf,delta_total_surprisal,delta_avg_surprisal,abs_delta_avg_surprisal,key_region_surprisal_s,key_region_surprisal_cf,delta_key_region_surprisal,key_region_count_s,key_region_count_cf
neg_000067,negation,gpt2,31.511547088623047,34.16488265991211,6.302309513092041,4.880697727203369,2.6533355712890625,-1.4216117858886719,1.4216117858886719,7.124917984008789,8.16159737110138,1.0366793870925903,1,2
neg_000068,negation,gpt2,30.786218643188477,25.157058715820312,4.398031234741211,5.031411647796631,-5.629159927368164,0.6333804130554199,0.6333804130554199,6.561381638050079,6.713879108428955,0.15249747037887573,2,1
neg_000069,negation,gpt2,34.415557861328125,39.44287872314453,6.883111476898193,5.634696960449219,5.027320861816406,-1.2484145164489746,1.2484145164489746,12.03700065612793,12.530254364013672,0.4932537078857422,1,2
neg_000070,negation,gpt2,34.13628005981445,31.01715087890625,4.876611232757568,6.20343017578125,-3.119129180908203,1.3268189430236816,1.3268189430236816,6.1505483984947205,6.61842679977417,0.46787840127944946,2,1
neg_000071,negation,gpt2,35.065284729003906,35.5525016784668,7.013056755065918,5.0789289474487305,0.4872169494628906,-1.9341278076171875,1.9341278076171875,8.324575424194336,7.305385589599609,-1.0191898345947266,1,2
neg_000072,negation,gpt2,36.608863830566406,32.33109664916992,5.229837894439697,6.466219425201416,-4.277767181396484,1.2363815307617188,1.2363815307617188,11.034677773714066,10.581274032592773,-0.4534037411212921,2,1
neg_000073,negation,gpt2,31.147687911987305,34.52477264404297,6.229537487030029,4.93211030960083,3.377084732055664,-1.2974271774291992,1.2974271774291992,8.70625114440918,8.252437591552734,-0.4538135528564453,1,2
neg_000074,negation,gpt2,39.3260612487793,35.33510208129883,5.618008613586426,7.067020416259766,-3.9909591674804688,1.4490118026733398,1.4490118026733398,10.41622531414032,10.44849967956543,0.03227436542510986,2,1
neg_000075,negation,gpt2,34.28667449951172,35.752384185791016,6.857335090637207,5.107483386993408,1.4657096862792969,-1.7498517036437988,1.7498517036437988,10.84516716003418,9.089624673128128,-1.7555424869060516,1,2
neg_000076,negation,gpt2,37.64301300048828,35.99668884277344,5.377573490142822,7.199337959289551,-1.6463241577148438,1.8217644691467285,1.8217644691467285,7.799388408660889,9.990509033203125,2.1911206245422363,2,1
neg_000077,negation,gpt2,33.322723388671875,38.05788040161133,6.664544582366943,5.436840057373047,4.735157012939453,-1.2277045249938965,1.2277045249938965,11.436346054077148,11.541580438613892,0.10523438453674316,1,2
neg_000078,negation,gpt2,33.7036018371582,32.23087692260742,4.814800262451172,6.446175575256348,-1.4727249145507812,1.6313753128051758,1.6313753128051758,8.02761396765709,8.943246841430664,0.9156328737735748,2,1
neg_000079,negation,gpt2,33.02103042602539,35.9430046081543,6.604206085205078,5.1347150802612305,2.9219741821289062,-1.4694910049438477,1.4694910049438477,8.057891845703125,7.632350444793701,-0.42554140090942383,1,2
neg_000080,negation,gpt2,35.52082824707031,34.290061950683594,5.074404239654541,6.8580121994018555,-1.2307662963867188,1.7836079597473145,1.7836079597473145,8.956910192966461,10.111456871032715,1.1545466780662537,2,1
neg_000081,negation,gpt2,31.68454933166504,34.00542449951172,6.336909770965576,4.857917785644531,2.3208751678466797,-1.478991985321045,1.478991985321045,8.509193420410156,7.708199292421341,-0.8009941279888153,1,2
neg_000082,negation,gpt2,39.829498291015625,34.24050521850586,5.6899285316467285,6.8481011390686035,-5.588993072509766,1.158172607421875,1.158172607421875,8.908605724573135,8.510266304016113,-0.3983394205570221,2,1
