phenomenon,model,layer,control,spearman,p
negation,roberta-base,12,lexical_jaccard,-0.16238520660069658,2.5169754498075595e-10
role_reversal,bert-base-uncased,0,abs_length_delta,0.26983456395512073,1.9433228936868764e-26
role_reversal,bert-base-uncased,1,abs_length_delta,0.22952212503365424,2.2086233205670845e-19
role_reversal,bert-base-uncased,2,abs_length_delta,0.2122416450065434,9.728077582364962e-17
role_reversal,bert-base-uncased,3,abs_length_delta,0.1972261495467281,1.2780718960781053e-14
role_reversal,bert-base-uncased,4,abs_length_delta,0.1773598742807415,4.5706573208052135e-12
role_reversal,bert-base-uncased,5,abs_length_delta,0.17256873385409224,1.713911220322647e-11
role_reversal,bert-base-uncased,6,abs_length_delta,0.14776237684541293,8.943930852727356e-09
role_reversal,bert-base-uncased,7,abs_length_delta,0.13997063580609215,5.229165072058049e-08
role_reversal,bert-base-uncased,8,abs_length_delta,0.12749372067057904,7.273213876462839e-07
role_reversal,bert-base-uncased,9,abs_length_delta,0.0958267100051703,0.00020175035199567146
role_reversal,bert-base-uncased,10,abs_length_delta,0.0703260230869229,0.006433681302790208
role_reversal,bert-base-uncased,11,abs_length_delta,0.0640224517861699,0.01313616272026414
role_reversal,bert-base-uncased,12,abs_length_delta,0.07583250071860609,0.0032952395276137766
role_reversal,bert-base-uncased,0,edit_distance,0.3943950124607394,5.266172033030232e-57
role_reversal,bert-base-uncased,1,edit_distance,0.213384794696963,6.60664089144227e-17
role_reversal,bert-base-uncased,2,edit_distance,0.16458020103420562,1.430354169186632e-10
role_reversal,bert-base-uncased,3,edit_distance,0.16803050426930013,5.792993444607967e-11
role_reversal,bert-base-uncased,4,edit_distance,0.1409522854849151,4.207902933197765e-08
role_reversal,bert-base-uncased,5,edit_distance,0.12641181529879122,9.036294895675984e-07
role_reversal,bert-base-uncased,6,edit_distance,0.15886180033719177,6.136272377508476e-10
role_reversal,bert-base-uncased,7,edit_distance,0.16257429732944195,2.398096224635223e-10
role_reversal,bert-base-uncased,8,edit_distance,0.16685443158527438,7.900091433471802e-11
role_reversal,bert-base-uncased,9,edit_distance,0.17448050624167535,1.0159546819613534e-11
role_reversal,bert-base-uncased,10,edit_distance,0.1831380298880834,8.835711293493321e-13
role_reversal,bert-base-uncased,11,edit_distance,0.16076293482217158,3.8031011687944705e-10
role_reversal,bert-base-uncased,12,edit_distance,0.17794614442545464,3.878229208119121e-12
role_reversal,bert-base-uncased,0,lexical_jaccard,-0.3714307092016942,2.832619503204132e-50
role_reversal,bert-base-uncased,1,lexical_jaccard,-0.4756689060842105,1.560027918884275e-85
role_reversal,bert-base-uncased,2,lexical_jaccard,-0.5086630410099453,1.643038736451672e-99
role_reversal,bert-base-uncased,3,lexical_jaccard,-0.5166889403081949,3.779268680625143e-103
role_reversal,bert-base-uncased,4,lexical_jaccard,-0.5180776365345704,8.668762296875696e-104
role_reversal,bert-base-uncased,5,lexical_jaccard,-0.5131051739302763,1.636822102623843e-101
role_reversal,bert-base-uncased,6,lexical_jaccard,-0.49842552007325147,5.2193167643178865e-95
role_reversal,bert-base-uncased,7,lexical_jaccard,-0.4861442144283225,8.320858141762676e-90
role_reversal,bert-base-uncased,8,lexical_jaccard,-0.47804480706887886,1.7257078524644485e-86
role_reversal,bert-base-uncased,9,lexical_jaccard,-0.42758817990903314,1.0072617909248274e-67
role_reversal,bert-base-uncased,10,lexical_jaccard,-0.405843283229071,1.4484392747139142e-60
role_reversal,bert-base-uncased,11,lexical_jaccard,-0.40788695807709735,3.239442422487977e-61
role_reversal,bert-base-uncased,12,lexical_jaccard,-0.37784895189383294,4.217548623877023e-52
role_reversal,gpt2,0,abs_length_delta,0.31185452148593285,3.438739884227501e-35
role_reversal,gpt2,1,abs_length_delta,0.31089075799063093,5.674351150673286e-35
role_reversal,gpt2,2,abs_length_delta,0.31089895741512585,5.650267993065719e-35
role_reversal,gpt2,3,abs_length_delta,0.31158003001243717,3.966734634666747e-35
role_reversal,gpt2,4,abs_length_delta,0.2979609583760338,3.931673798690321e-32
role_reversal,gpt2,5,abs_length_delta,0.2756497560032161,1.4610578934089302e-27
role_reversal,gpt2,6,abs_length_delta,0.2591013596682745,1.9566193637323873e-24
role_reversal,gpt2,7,abs_length_delta,0.24380778536398418,9.73456759721903e-22
role_reversal,gpt2,8,abs_length_delta,0.22678428637275397,5.99655197141485e-19
role_reversal,gpt2,9,abs_length_delta,0.2107720071821408,1.5946080029559272e-16
role_reversal,gpt2,10,abs_length_delta,0.18607551328053384,3.752652022752992e-13
role_reversal,gpt2,11,abs_length_delta,0.17166968238757147,2.1873091353957688e-11
