phenomenon,model,layer,metric,n,raw_spearman,raw_p,surface_controlled_spearman,surface_controlled_p
negation,roberta-base,1,delta_cos,1500,0.08964231466823809,0.0005090711408502532,0.05093500408330101,0.048570810531381355
negation,roberta-base,2,delta_cos,1500,0.03853597688605976,0.1357510969696743,-0.006822200212312092,0.7917756960028216
negation,roberta-base,3,delta_cos,1500,-0.015592148830019593,0.5462329256616111,-0.04411414396234667,0.08764736830042016
negation,roberta-base,4,delta_cos,1500,-0.04647328472742732,0.07195949091636718,-0.0675882711522823,0.008831862654234421
negation,roberta-base,5,delta_cos,1500,-0.04227110833812049,0.10173087803683244,-0.05813777766391385,0.02434161574563721
negation,roberta-base,6,delta_cos,1500,-0.06599856757788773,0.010564888748594794,-0.07612142697931223,0.003177807846506445
negation,roberta-base,7,delta_cos,1500,-0.05742225319511679,0.026152789595851263,-0.06857748607182448,0.007886080135939532
negation,roberta-base,8,delta_cos,1500,-0.05495029896906697,0.03333296550684468,-0.06315733681710037,0.014426016244712408
negation,roberta-base,9,delta_cos,1500,-0.04162009917614146,0.1071156824628616,-0.05057578349729437,0.05018167781114195
negation,roberta-base,10,delta_cos,1500,-0.04944968791055629,0.055524010021058355,-0.054906430231839234,0.03347427692781903
negation,roberta-base,11,delta_cos,1500,-0.012618817189853263,0.6253113678425888,-0.02633535865179996,0.3080650552883698
negation,roberta-base,12,delta_cos,1500,-0.008894920765334132,0.7306820332013767,-0.02953177865708776,0.2530150632639453
negation,roberta-base,0,delta_frob,1500,0.11758858949082578,4.96551834112722e-06,0.08752613879552462,0.00068990162359439
negation,roberta-base,1,delta_frob,1500,0.09774107331746368,0.0001497879585599843,0.05898719234928531,0.022333412232668257
negation,roberta-base,2,delta_frob,1500,0.05046663549624088,0.05067990759540339,0.0062599582782949395,0.8085884700756263
negation,roberta-base,3,delta_frob,1500,-0.004295246747105328,0.8679867510569432,-0.033722271815154053,0.19177695577629947
negation,roberta-base,4,delta_frob,1500,-0.03815170515858695,0.13969840641486406,-0.06010290607918704,0.019915307875564642
negation,roberta-base,5,delta_frob,1500,-0.03613678246539105,0.16185446238284176,-0.05284010723496556,0.040735514084948576
negation,roberta-base,6,delta_frob,1500,-0.05878172938974113,0.02280549519577877,-0.06957801719941256,0.0070226990785135935
negation,roberta-base,7,delta_frob,1500,-0.05419676123868666,0.03583239238061566,-0.06571072308696915,0.010909159036394162
negation,roberta-base,8,delta_frob,1500,-0.05450185689219003,0.03480180663902883,-0.06329207210535576,0.014218069348437942
negation,roberta-base,9,delta_frob,1500,-0.042697363017534254,0.09832332948447937,-0.051739310060527566,0.04512082718843969
negation,roberta-base,10,delta_frob,1500,-0.04920594703279473,0.056740620180559045,-0.054765960486189924,0.03393021205455052
negation,roberta-base,11,delta_frob,1500,-0.013198345241502651,0.6095150450199907,-0.0273971682492248,0.2889616503709242
negation,roberta-base,12,delta_frob,1500,-0.002351890403360717,0.9274826480269562,-0.02300223423240476,0.37333284052426075
negation,roberta-base,0,delta_l2,1500,0.03311592020608037,0.19989301577744056,-0.02570352030435216,0.3198201594910503
negation,roberta-base,1,delta_l2,1500,0.07158835126818003,0.005539670682326081,0.02628938110499662,0.30891069020849876
negation,roberta-base,2,delta_l2,1500,0.033508568015232026,0.1946093070485945,-0.014546406303423853,0.5734757323932034
