model,phenomenon,layer,delta_cos,delta_frob,delta_l2,delta_token_aligned
roberta-base,role_reversal,3,0.003781134843826294,0.004586052961684797,1.6783197886546453,0.023073891116031496
roberta-base,role_reversal,4,0.004605862140655517,0.005409321878322457,1.8372398729324342,0.027696854235668374
roberta-base,role_reversal,5,0.005084211428960164,0.005823105461151386,2.152478306055069,0.029422487960021157
roberta-base,role_reversal,6,0.005201318979263306,0.005800387341662245,2.2662156852086386,0.029081652487066862
roberta-base,role_reversal,7,0.005195104916890462,0.005782723321473743,2.3485869043668113,0.02988637278904245
roberta-base,role_reversal,8,0.005738076130549113,0.006323270793147559,2.469146499236425,0.03096569604296533
roberta-base,role_reversal,9,0.005686056534449259,0.006295495985938531,2.4707953202724457,0.03025273806492029
roberta-base,role_reversal,10,0.005132802486419678,0.005554540247449783,2.405612810611725,0.026211142020379767
roberta-base,role_reversal,11,0.004761924346288045,0.005100663200942888,2.2402000800768533,0.022983608558933114
roberta-base,role_reversal,12,0.004238409201304118,0.004420460996213445,1.1421338517268498,0.01661583849615693
