pair_id,phenomenon,model,dataset_path,layer,pooling,delta_cos,sim_frob,delta_frob,delta_l2,delta_token_aligned,token_count_s,token_count_cf,length_delta,lexical_jaccard,edit_distance,split,template_id
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,7,mean_non_special,0.039381325244903564,0.9529137507569388,0.04708624924306115,4.0917582511901855,0.04809478351048061,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,8,mean_non_special,0.04666459560394287,0.946431959519368,0.05356804048063202,4.297354698181152,0.05655709334782192,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,9,mean_non_special,0.046866655349731445,0.948540372958622,0.051459627041377964,4.020102024078369,0.056197362286703925,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,10,mean_non_special,0.03726673126220703,0.9580741052685453,0.041925894731454694,3.9209930896759033,0.05131711278642927,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,11,mean_non_special,0.03138852119445801,0.9666460012399256,0.03335399876007439,3.7182648181915283,0.04422658681869507,8,9,1,0.625,5,train,attach_pp_v01
attach_000006,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,12,mean_non_special,0.037631452083587646,0.9545288604344192,0.0454711395655808,2.7395071983337402,0.048007147652762275,8,9,1,0.625,5,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,0,mean_non_special,0.07562834024429321,0.9066515275235427,0.09334847247645728,2.8885154724121094,0.05522453784942627,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,1,mean_non_special,0.07023090124130249,0.9166632503176602,0.08333674968233984,3.5831828117370605,0.0753970980644226,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,2,mean_non_special,0.058916568756103516,0.9309069285000805,0.0690930714999195,3.822124719619751,0.08223570585250854,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,3,mean_non_special,0.055012524127960205,0.9310866610931556,0.06891333890684437,3.6298532485961914,0.09367619752883911,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,4,mean_non_special,0.04766494035720825,0.9328621807998985,0.06713781920010153,3.9580585956573486,0.13915445804595947,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,5,mean_non_special,0.05469393730163574,0.9303921303877115,0.06960786961228849,4.619645595550537,0.13811784982681274,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,6,mean_non_special,0.06498301029205322,0.9178449229348145,0.08215507706518554,5.161683559417725,0.19113868474960327,8,9,1,0.3,32,train,attach_pp_v01
attach_000007,attachment,bert-base-uncased,data/css_pairs/attach_pilot_100.jsonl,7,mean_non_special,0.07903426885604858,0.9077803804239302,0.09221961957606983,5.612753391265869,0.18585742712020875,8,9,1,0.3,32,train,attach_pp_v01
