phenomenon,probe_name,model,dataset_path,layer,seed,split_type,feature_type,accuracy,macro_f1,auroc,ece,control_accuracy,control_macro_f1,selectivity,n_train,n_dev,n_test,config_sha256,solver,max_iter,C
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,2,17,random,sentence_mean,1.0,1.0,1.0,,0.51,0.5095586027424682,0.4904413972575318,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,2,19,random,sentence_mean,1.0,1.0,1.0,,0.515,0.5137018541161267,0.4862981458838733,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,2,23,random,sentence_mean,1.0,1.0,1.0,,0.5183333333333333,0.5182998819362455,0.48170011806375446,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,3,11,random,sentence_mean,1.0,1.0,1.0,,0.49,0.48972218207690854,0.5102778179230915,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,3,13,random,sentence_mean,1.0,1.0,1.0,,0.5033333333333333,0.5025373931623932,0.4974626068376068,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,3,17,random,sentence_mean,1.0,1.0,1.0,,0.49,0.4899943332703697,0.5100056667296303,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,3,19,random,sentence_mean,1.0,1.0,1.0,,0.505,0.5041391304347826,0.49586086956521735,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,3,23,random,sentence_mean,1.0,1.0,1.0,,0.5183333333333333,0.5183212913656174,0.48167870863438256,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,4,11,random,sentence_mean,1.0,1.0,1.0,,0.48333333333333334,0.4825053418803419,0.5174946581196581,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,4,13,random,sentence_mean,1.0,1.0,1.0,,0.51,0.5092147435897436,0.4907852564102564,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,4,17,random,sentence_mean,1.0,1.0,1.0,,0.5033333333333333,0.5031345871682006,0.4968654128317994,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,4,19,random,sentence_mean,1.0,1.0,1.0,,0.5233333333333333,0.5224365753470406,0.4775634246529594,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,4,23,random,sentence_mean,1.0,1.0,1.0,,0.5316666666666666,0.5310922546786481,0.46890774532135193,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,5,11,random,sentence_mean,1.0,1.0,1.0,,0.5166666666666667,0.5164732559690544,0.48352674403094564,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,5,13,random,sentence_mean,1.0,1.0,1.0,,0.5383333333333333,0.5376539414862396,0.4623460585137604,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,5,17,random,sentence_mean,1.0,1.0,1.0,,0.49333333333333335,0.49331081381394726,0.5066891861860527,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,5,19,random,sentence_mean,1.0,1.0,1.0,,0.525,0.5247769091601335,0.47522309083986647,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,5,23,random,sentence_mean,1.0,1.0,1.0,,0.5233333333333333,0.5233121472065425,0.4766878527934575,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,6,11,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.515,0.5140158821613768,0.48598411783862316,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,6,13,random,sentence_mean,1.0,1.0,1.0,,0.4683333333333333,0.4682964094728801,0.5317035905271199,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,6,17,random,sentence_mean,1.0,1.0,1.0,,0.51,0.50995099509951,0.49004900490048997,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,6,19,random,sentence_mean,1.0,1.0,1.0,,0.5333333333333333,0.5331465919701214,0.4668534080298786,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,6,23,random,sentence_mean,1.0,1.0,1.0,,0.5283333333333333,0.5282271844498345,0.4717728155501655,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,7,11,random,sentence_mean,1.0,1.0,1.0,,0.5133333333333333,0.5130682260341741,0.4869317739658259,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,7,13,random,sentence_mean,1.0,1.0,1.0,,0.49333333333333335,0.49276974416017794,0.5072302558398221,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,7,17,random,sentence_mean,1.0,1.0,1.0,,0.49,0.49,0.51,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,7,19,random,sentence_mean,1.0,1.0,1.0,,0.49,0.49,0.51,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,7,23,random,sentence_mean,1.0,1.0,1.0,,0.5266666666666666,0.5266666666666666,0.4733333333333334,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,8,11,random,sentence_mean,1.0,1.0,1.0,,0.5,0.4987468671679198,0.5012531328320802,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,8,13,random,sentence_mean,1.0,1.0,1.0,,0.48333333333333334,0.4826377685555024,0.5173622314444977,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,8,17,random,sentence_mean,1.0,1.0,1.0,,0.505,0.5049326158282655,0.49506738417173446,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,8,19,random,sentence_mean,1.0,1.0,1.0,,0.5,0.4997276294871652,0.5002723705128348,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,8,23,random,sentence_mean,1.0,1.0,1.0,,0.5333333333333333,0.5333125916707409,0.46668740832925915,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,9,11,random,sentence_mean,1.0,1.0,1.0,,0.4816666666666667,0.48163066879644423,0.5183693312035558,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,9,13,random,sentence_mean,1.0,1.0,1.0,,0.48333333333333334,0.4831265839669201,0.5168734160330799,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,9,17,random,sentence_mean,1.0,1.0,1.0,,0.49833333333333335,0.4983207913531172,0.5016792086468829,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,9,19,random,sentence_mean,1.0,1.0,1.0,,0.4866666666666667,0.4863870329401563,0.5136129670598437,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,9,23,random,sentence_mean,1.0,1.0,1.0,,0.5383333333333333,0.5383012709215917,0.46169872907840825,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,10,11,random,sentence_mean,1.0,1.0,1.0,,0.515,0.5146966854283928,0.48530331457160725,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,10,13,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.48,0.4796299590820139,0.5203700409179861,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,10,17,random,sentence_mean,1.0,1.0,1.0,,0.49666666666666665,0.49646525276777376,0.5035347472322262,2400,0,600,pending,liblinear,300,1.0
negation,negation_probe,bert-base-uncased,data/css_pairs/neg_1500.jsonl,10,19,random,sentence_mean,1.0,1.0,1.0,,0.495,0.49496492812000836,0.5050350718799916,2400,0,600,pending,liblinear,300,1.0
