phenomenon,probe_name,model,dataset_path,layer,seed,split_type,feature_type,accuracy,macro_f1,auroc,ece,control_accuracy,control_macro_f1,selectivity,n_train,n_dev,n_test,config_sha256
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,11,random,span_vector,1.0,1.0,1.0,,0.4875,0.48549019607843136,0.5145098039215686,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,13,random,span_vector,1.0,1.0,1.0,,0.525,0.5223130106851037,0.4776869893148963,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,17,random,span_vector,1.0,1.0,1.0,,0.55,0.549718574108818,0.45028142589118203,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,19,random,span_vector,1.0,1.0,1.0,,0.5625,0.5618838992332968,0.43811610076670315,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,4,23,random,span_vector,1.0,1.0,1.0,,0.525,0.5238095238095238,0.47619047619047616,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,5,11,random,span_vector,1.0,1.0,1.0,,0.5375,0.531571451178984,0.46842854882101603,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,5,13,random,span_vector,1.0,1.0,1.0,,0.4625,0.45561006488368416,0.5443899351163158,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,5,17,random,span_vector,1.0,1.0,1.0,,0.5125,0.5124238162212846,0.48757618377871537,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,5,19,random,span_vector,1.0,1.0,1.0,,0.475,0.4736842105263158,0.5263157894736842,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,5,23,random,span_vector,1.0,1.0,1.0,,0.525,0.5247029393370857,0.47529706066291433,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,6,11,random,span_vector,1.0,1.0,1.0,,0.525,0.5223130106851037,0.4776869893148963,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,6,13,random,span_vector,1.0,1.0,1.0,,0.5125,0.5087387812942843,0.4912612187057157,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,6,17,random,span_vector,1.0,1.0,1.0,,0.5125,0.5105882352941176,0.48941176470588243,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,6,19,random,span_vector,1.0,1.0,1.0,,0.5125,0.5118134877171022,0.4881865122828978,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,6,23,random,span_vector,1.0,1.0,1.0,,0.475,0.475,0.525,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,7,11,random,span_vector,1.0,1.0,1.0,,0.5625,0.5624316299421784,0.43756837005782157,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,7,13,random,span_vector,1.0,1.0,1.0,,0.55,0.5474544311753614,0.4525455688246386,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,7,17,random,span_vector,1.0,1.0,1.0,,0.5125,0.5124238162212846,0.48757618377871537,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,7,19,random,span_vector,1.0,1.0,1.0,,0.5875,0.5874355368026254,0.4125644631973746,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,7,23,random,span_vector,1.0,1.0,1.0,,0.425,0.4235588972431078,0.5764411027568922,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,8,11,random,span_vector,1.0,1.0,1.0,,0.5375,0.5374277230817315,0.4625722769182685,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,8,13,random,span_vector,1.0,1.0,1.0,,0.525,0.5202020202020202,0.4797979797979798,320,0,80,pending
role_reversal,role_probe,bert-base-uncased,data/css_pairs/role_pilot_100.jsonl,8,17,random,span_vector,1.0,1.0,1.0,,0.5,0.5,0.5,320,0,80,pending
