model,phenomenon,layer,metric,spearman_ci_lo,spearman_ci_hi,pearson_ci_lo,pearson_ci_hi
mistralai/Mistral-7B-Instruct-v0.3,negation,20,delta_token_aligned,-0.12420166558460931,-0.027951111414291074,-0.14776942600110746,-0.050254497288794345
mistralai/Mistral-7B-Instruct-v0.3,negation,21,delta_cos,-0.037205224688086014,0.0695520711136442,-0.012417007659984578,0.11237967128704558
mistralai/Mistral-7B-Instruct-v0.3,negation,21,delta_frob,-0.04186266332535363,0.07081015822113829,-0.004535985394877955,0.12247750143491132
mistralai/Mistral-7B-Instruct-v0.3,negation,21,delta_l2,-0.014474390367245479,0.08211925567899078,0.014577203876670579,0.12226922250229312
mistralai/Mistral-7B-Instruct-v0.3,negation,21,delta_token_aligned,-0.1271146098788578,-0.032551116252429804,-0.14925861107256477,-0.05018131738930121
mistralai/Mistral-7B-Instruct-v0.3,negation,22,delta_cos,-0.022434612564490076,0.08487026173748788,-0.002494230949723661,0.12049727973213747
mistralai/Mistral-7B-Instruct-v0.3,negation,22,delta_frob,-0.04230755287152775,0.06773065750635478,-0.0026466209653504967,0.12323338655190649
mistralai/Mistral-7B-Instruct-v0.3,negation,22,delta_l2,-0.0018878521426959366,0.09530880401003688,0.023983347457238055,0.128769511015156
mistralai/Mistral-7B-Instruct-v0.3,negation,22,delta_token_aligned,-0.13498575621539696,-0.037230719592937646,-0.1505228872818098,-0.05010118469451791
mistralai/Mistral-7B-Instruct-v0.3,negation,23,delta_cos,-0.013660127269948598,0.09570506010384304,-0.001061365140789647,0.12316277246370076
mistralai/Mistral-7B-Instruct-v0.3,negation,23,delta_frob,-0.028858800258729018,0.07640938150392328,0.007440013351230117,0.12857007539980145
mistralai/Mistral-7B-Instruct-v0.3,negation,23,delta_l2,-0.009513991353792557,0.08830988346022607,0.013290972203551396,0.12383901373377507
mistralai/Mistral-7B-Instruct-v0.3,negation,23,delta_token_aligned,-0.12280694932152464,-0.026626185434225826,-0.14805705769392902,-0.047899840865990306
mistralai/Mistral-7B-Instruct-v0.3,negation,24,delta_cos,-0.01424303593516924,0.09673969243224853,0.0008393611576679395,0.12337431691035963
mistralai/Mistral-7B-Instruct-v0.3,negation,24,delta_frob,-0.031158683919910037,0.07977401635355608,0.00679188098674749,0.13138210409126988
mistralai/Mistral-7B-Instruct-v0.3,negation,24,delta_l2,-0.008336246283769364,0.08760611793260208,0.008872196787952157,0.11910191795365724
mistralai/Mistral-7B-Instruct-v0.3,negation,24,delta_token_aligned,-0.14322655344074786,-0.045845040921018806,-0.1538574457364494,-0.05422986099604657
